Wavelength (nm)	Reflectance
200	0.1160126
201	0.0859069
202	0.0545774
203	0.0268354
204	0.0074728
205	2.78e-05
206	0.0056849
207	0.0229436
208	0.0482576
209	0.0772285
210	0.1057119
211	0.1331547
212	0.152482
213	0.1620595
214	0.1613863
215	0.1508283
216	0.1318573
217	0.1063009
218	0.0770131
219	0.0477225
220	0.0226715
221	0.00597
222	1.4e-06
223	0.0054928
224	0.0210669
225	0.0437629
226	0.0697342
227	0.0957118
228	0.1189144
229	0.1373615
230	0.1498206
231	0.1556714
232	0.1549047
233	0.1477448
234	0.1347599
235	0.1168759
236	0.0956141
237	0.0724937
238	0.0495218
239	0.0288959
240	0.0127439
241	0.0028519
242	5.09e-05
243	0.0044675
244	0.0153629
245	0.0313211
246	0.0504872
247	0.0710412
248	0.0912814
249	0.1097962
250	0.1255125
251	0.1376113
252	0.1457754
253	0.1497743
254	0.1495628
255	0.1452537
256	0.1371826
257	0.1257146
258	0.1113934
259	0.0949174
260	0.077139
261	0.0591073
262	0.0418336
263	0.0264132
264	0.0138708
265	0.0050571
266	0.000565
267	0.0005579
268	0.0049188
269	0.0132062
270	0.0247238
271	0.0385681
272	0.0538605
273	0.0697099
274	0.0853059
275	0.0999552
276	0.1130247
277	0.1241845
278	0.1331279
279	0.1396515
280	0.1436387
281	0.1450485
282	0.1439054
283	0.1402924
284	0.1343488
285	0.126269
286	0.1163953
287	0.104963
288	0.0923304
289	0.0789097
290	0.0651608
291	0.0515799
292	0.0386813
293	0.0269743
294	0.0169352
295	0.0089765
296	0.0034529
297	0.0004996
298	0.0001973
299	0.0024999
300	0.0072423
301	0.0141576
302	0.0229008
303	0.0330766
304	0.0442656
305	0.0560489
306	0.0679855
307	0.0797565
308	0.0910436
309	0.1015749
310	0.1111254
311	0.1194921
312	0.1265722
313	0.1322662
314	0.1365077
315	0.1392596
316	0.1405102
317	0.1402709
318	0.1385744
319	0.1354729
320	0.131038
321	0.1253933
322	0.118623
323	0.1108536
324	0.1022303
325	0.0929169
326	0.0831414
327	0.0730542
328	0.0628626
329	0.052783
330	0.0430363
331	0.033842
332	0.0254118
333	0.0179427
334	0.0116088
335	0.006556
336	0.0029087
337	0.000713
338	3e-07
339	0.000761
340	0.0029461
341	0.0064708
342	0.0112193
343	0.0170508
344	0.0238059
345	0.0313136
346	0.0393971
347	0.0478802
348	0.0565915
349	0.0653686
350	0.0740614
351	0.0825002
352	0.0906001
353	0.0982556
354	0.1053763
355	0.1118857
356	0.117721
357	0.1228321
358	0.1271801
359	0.1307367
360	0.1334832
361	0.1354092
362	0.1365125
363	0.1367981
364	0.1362774
365	0.1349682
366	0.1329143
367	0.1301319
368	0.1266556
369	0.1225255
370	0.117787
371	0.1124909
372	0.1066935
373	0.1004559
374	0.0938445
375	0.0869306
376	0.0798307
377	0.0725838
378	0.0652713
379	0.0579772
380	0.0507868
381	0.0437853
382	0.0370575
383	0.0306856
384	0.0247482
385	0.0193185
386	0.0144635
387	0.0102418
388	0.0067035
389	0.0038881
390	0.0018244
391	0.0005301
392	1.13e-05
393	0.0002627
394	0.0012679
395	0.0030006
396	0.0054246
397	0.0084958
398	0.012163
399	0.016369
400	0.0210526
401	0.0261232
402	0.0315379
403	0.0372311
404	0.0431378
405	0.0491941
406	0.0553385
407	0.0615122
408	0.0676597
409	0.0737293
410	0.0796731
411	0.0854471
412	0.091012
413	0.096332
414	0.1013755
415	0.1061147
416	0.1105255
417	0.1145873
418	0.1182829
419	0.1215981
420	0.1245215
421	0.1270446
422	0.129161
423	0.1308671
424	0.132161
425	0.133043
426	0.1335221
427	0.1335998
428	0.1332817
429	0.1325745
430	0.1314868
431	0.1300283
432	0.1282103
433	0.1260452
434	0.1235469
435	0.1207307
436	0.1175862
437	0.1141548
438	0.1104557
439	0.1065095
440	0.1023379
441	0.0980286
442	0.0935438
443	0.0889077
444	0.084145
445	0.0792818
446	0.0743101
447	0.0692919
448	0.0642557
449	0.05923
450	0.054244
451	0.0493264
452	0.0445059
453	0.039811
454	0.0352694
455	0.030908
456	0.0267527
457	0.0228281
458	0.0191572
459	0.0157613
460	0.0126599
461	0.0098871
462	0.0074368
463	0.0053216
464	0.0035514
465	0.002134
466	0.0010687
467	0.0003684
468	3.27e-05
469	5.92e-05
470	0.0004428
471	0.0011703
472	0.0022336
473	0.0036214
474	0.0053202
475	0.0073152
476	0.0095901
477	0.0121273
478	0.0149078
479	0.0179125
480	0.0211211
481	0.024513
482	0.0280672
483	0.031763
484	0.0355794
485	0.0394958
486	0.0434918
487	0.0475476
488	0.051644
489	0.0557624
490	0.0598848
491	0.0639943
492	0.0680745
493	0.0721098
494	0.0760863
495	0.07999
496	0.0838084
497	0.0875295
498	0.0911426
499	0.0946377
500	0.0980054
501	0.1012231
502	0.1043
503	0.1072293
504	0.1100052
505	0.1126224
506	0.1150849
507	0.1173776
508	0.1194972
509	0.1214407
510	0.123206
511	0.1247913
512	0.1261953
513	0.1274171
514	0.1284565
515	0.1293134
516	0.1299926
517	0.1304931
518	0.1308162
519	0.1309631
520	0.1309357
521	0.1307257
522	0.1303434
523	0.1297917
524	0.1290734
525	0.128192
526	0.127167
527	0.1259882
528	0.1246594
529	0.1231849
530	0.121569
531	0.1198164
532	0.117932
533	0.1159207
534	0.1137878
535	0.1115388
536	0.1091547
537	0.1066649
538	0.1040755
539	0.1013929
540	0.0986239
541	0.0958024
542	0.0929087
543	0.0899499
544	0.0869331
545	0.0838653
546	0.0807541
547	0.0776068
548	0.0744311
549	0.0712344
550	0.0680247
551	0.0648095
552	0.0615966
553	0.058394
554	0.0552093
555	0.0520502
556	0.0489248
557	0.0458401
558	0.042804
559	0.0398238
560	0.0369068
561	0.0340601
562	0.0312906
563	0.0286049
564	0.0260094
565	0.0235104
566	0.0211137
567	0.018825
568	0.0166494
569	0.0145919
570	0.0126571
571	0.010849
572	0.0091717
573	0.0076282
574	0.0062217
575	0.0049546
576	0.0038292
577	0.0028472
578	0.0020097
579	0.0013176
580	0.0007713
581	0.0003735
582	0.0001187
583	6.2e-06
584	3.48e-05
585	0.0002029
586	0.0005116
587	0.0009578
588	0.0015387
589	0.0022515
590	0.0030928
591	0.0040591
592	0.0051465
593	0.0063509
594	0.0076681
595	0.0090936
596	0.0106227
597	0.0122507
598	0.0139725
599	0.0157832
600	0.0176776
601	0.0196357
602	0.0216661
603	0.0237636
604	0.0259233
605	0.02814
606	0.0304251
607	0.0327573
608	0.0351315
609	0.0375426
610	0.0399855
611	0.0424379
612	0.0449122
613	0.0474038
614	0.0499082
615	0.0524209
616	0.0549549
617	0.0574885
618	0.0600176
619	0.062538
620	0.0650461
621	0.0675382
622	0.0700106
623	0.0724599
624	0.0748828
625	0.0772763
626	0.079623
627	0.0819353
628	0.0842105
629	0.0864462
630	0.0886398
631	0.0907894
632	0.0928926
633	0.0949476
634	0.0969524
635	0.0989055
636	0.1008145
637	0.1026674
638	0.1044627
639	0.1061993
640	0.1078759
641	0.109485
642	0.1110333
643	0.1125198
644	0.1139437
645	0.1153044
646	0.1166045
647	0.117839
648	0.1190074
649	0.1201092
650	0.1211442
651	0.122112
652	0.1230139
653	0.1238496
654	0.1246193
655	0.1253228
656	0.1259602
657	0.1265318
658	0.1270376
659	0.1274778
660	0.1278529
661	0.128157
662	0.1283954
663	0.1285685
664	0.1286767
665	0.1287206
666	0.1287097
667	0.1286367
668	0.1285023
669	0.128307
670	0.1280517
671	0.127737
672	0.1273636
673	0.1269324
674	0.1264441
675	0.1258996
676	0.1252997
677	0.1246454
678	0.1239375
679	0.123177
680	0.122365
681	0.1214861
682	0.1205567
683	0.119578
684	0.1185511
685	0.1174771
686	0.1163756
687	0.11523
688	0.1140416
689	0.1128116
690	0.1115411
691	0.1102314
692	0.1088838
693	0.1074995
694	0.1060798
695	0.104626
696	0.1031396
697	0.1016217
698	0.1000738
699	0.0984972
700	0.0968933
701	0.0952636
702	0.0936095
703	0.0919323
704	0.0902335
705	0.0885147
706	0.0867772
707	0.0850226
708	0.0832523
709	0.0814679
710	0.0796708
711	0.0778625
712	0.0760447
713	0.0742186
714	0.072386
715	0.0705482
716	0.068707
717	0.0668636
718	0.0650198
719	0.063177
720	0.0613367
721	0.0594893
722	0.0576476
723	0.0558131
724	0.0539873
725	0.0521717
726	0.0503678
727	0.0485771
728	0.046801
729	0.0450409
730	0.0432983
731	0.0415846
732	0.0398907
733	0.0382182
734	0.0365682
735	0.0349421
736	0.0333411
737	0.0317664
738	0.0302194
739	0.028701
740	0.0272126
741	0.0257551
742	0.0243297
743	0.0229374
744	0.0215793
745	0.0202563
746	0.0189692
747	0.017719
748	0.0165066
749	0.0153328
750	0.0141983
751	0.013104
752	0.0120504
753	0.0110382
754	0.010068
755	0.0091404
756	0.0082559
757	0.007415
758	0.0066181
759	0.0058655
760	0.0051577
761	0.0044983
762	0.0038837
763	0.0033141
764	0.0027895
765	0.0023102
766	0.0018762
767	0.0014876
768	0.0011442
769	0.0008461
770	0.0005933
771	0.0003844
772	0.000221
773	0.0001027
774	2.93e-05
775	5e-07
776	1.6e-05
777	7.54e-05
778	0.0001783
779	0.0003243
780	0.0005129
781	0.0007436
782	0.0010159
783	0.0013292
784	0.001683
785	0.0020766
786	0.0025093
787	0.0029807
788	0.0034898
789	0.0040361
790	0.0046188
791	0.0052371
792	0.0058904
793	0.0065777
794	0.0072984
795	0.0080515
796	0.0088363
797	0.009652
798	0.0104976
799	0.0113723
800	0.0122752
801	0.0132056
802	0.0141624
803	0.0151448
804	0.0161519
805	0.0171828
806	0.0182365
807	0.0193124
808	0.0204093
809	0.0215264
810	0.0226629
811	0.0238123
812	0.024979
813	0.0261623
814	0.0273612
815	0.028575
816	0.0298027
817	0.0310435
818	0.0322966
819	0.0335611
820	0.0348362
821	0.0361269
822	0.0374266
823	0.0387346
824	0.0400499
825	0.0413719
826	0.0426996
827	0.0440324
828	0.0453695
829	0.0467101
830	0.0480535
831	0.0493932
832	0.0507344
833	0.0520764
834	0.0534185
835	0.05476
836	0.0561003
837	0.0574389
838	0.0587749
839	0.060108
840	0.0614375
841	0.0627682
842	0.064094
843	0.0654144
844	0.0667288
845	0.0680367
846	0.0693377
847	0.0706311
848	0.0719166
849	0.0731936
850	0.0744618
851	0.0757205
852	0.0769695
